KommuneNr,KommuneNavn,RegionNavn,Fylke,Innbyggere,Skriftsprak,Ordforer,Parti
0101,Halden,Halden,Østfold,29880,Bokmål,Thor Edquist,Høyre
0104,Moss,Moss,Østfold,30988,Nøytral,TagePettersen,Høyre
0105,Sarpsborg,Sarpsborg,Østfold,53696,Bokmål,SindreMartinsen-Evje,Ap
0106,Fredrikstad,Fredrikstad,Østfold,76807,Bokmål,Jon-IvarNygård,Ap
0111,Hvaler,Skjærhalden,Østfold,4284,Bokmål,EivindN.Borge,Frp
0118,Aremark,Fosby,Østfold,1425,Bokmål,GeirAarbu,Sp
0119,Marker,Ørje,Østfold,3587,Bokmål,SteinErikLauvås,Ap
0121,Rømskog,Rømskog,Østfold,691,Bokmål,KariPettersen,KrF
0122,Trøgstad,Skjønhaug,Østfold,5273,Bokmål,OleAndréMyhrvold,Sp
0123,Spydeberg,Spydeberg,Østfold,5474,Bokmål,KnutEspeland,KrF
0124,Askim,Askim,Østfold,15315,Bokmål,ThorHals,Høyre
0125,Eidsberg,Mysen,Østfold,11195,Bokmål,ErikUnaas,Høyre
0127,Skiptvet,Meieribyen,Østfold,3668,Bokmål,SveinOlavAgnalt,Ap
0128,Rakkestad,Rakkestad,Østfold,7860,Bokmål,EllenSolbrække,Ap
0135,Råde,Karlshus,Østfold,7053,Bokmål,ReneRafshol,Høyre
0136,Rygge,Rygge,Østfold,14967,Bokmål,Inger-LiseSkartlien,Ap
0137,Våler,Kirkebygden,Østfold,4857,Bokmål,ReidarKaabel,Sp
0138,Hobøl,Elvestad,Østfold,4980,Nøytral,HåvardWennevoldOsflaten,Ap
0211,Vestby,Vestby,Akershus,15605,Bokmål,JohnA.Ødbehr,Høyre
0213,Ski,Ski,Akershus,29307,Nøytral,AnneKristineEikebråten,Høyre
0214,Ås,Ås,Akershus,17568,Nøytral,JohanAlnes,Ap
0215,Frogn,Drøbak,Akershus,15469,Bokmål,ThoreVestby,Høyre
0216,Nesodden,Nesoddtangen,Akershus,17998,Bokmål,NinaSandberg,Ap
0217,Oppegård,Kolbotn,Akershus,25963,Bokmål,IldriEidemLøvaas,Høyre
0219,Bærum,Sandvika,Akershus,116677,Bokmål,LisbethHammerKrog,Høyre
0220,Asker,Asker,Akershus,57418,Bokmål,LeneConradi,Høyre
0221,Aurskog-Høland,Bjørkelangen,Akershus,15260,Bokmål,JanMærli,Ap
0226,Sørum,Sørumsand,Akershus,16363,Nøytral,AreTomasgard,Ap
0227,Fet,Fetsund,Akershus,10810,Bokmål,JohnHarrySkoglund,Ap
0228,Rælingen,Fjerdingby,Akershus,16420,Nøytral,ØivindSand,Ap
0229,Enebakk,Kirkebygda,Akershus,10560,Bokmål,TonjeAndersenOlsen,Høyre
0230,Lørenskog,Solheim,Akershus,34320,Nøytral,ÅgeTovan,Ap
0231,Skedsmo,Lillestrøm,Akershus,50532,Bokmål,OleJacobFlæten,Ap
0233,Nittedal,Rotnes,Akershus,21971,Bokmål,HildeThorkildsen,Ap
0234,Gjerdrum,Ask,Akershus,6264,Bokmål,AndersØstensen,Ap
0235,Ullensaker,Jessheim,Akershus,31743,Bokmål,HaraldEspelund,Frp
0236,Nes,Årnes,Akershus,19819,Bokmål,OddmarBlekkerud,Ap
0237,Eidsvoll,Eidsvoll,Akershus,22142,Bokmål,EinarMadsen,Ap
0238,Nannestad,Teigebyen,Akershus,11505,Bokmål,AnneRagniArntzen,Ap
0239,Hurdal,Hurdal,Akershus,2685,Bokmål,RunarBålsrud,Venstre
0301,Oslo,Oslo,Oslo,623966,Nøytral,FabianStang,Høyre
0402,Kongsvinger,Kongsvinger,Hedmark,17638,Bokmål,ØysteinØstgaard,Høyre
0403,Hamar,Hamar,Hedmark,29353,Nøytral,MortenAspeli,Ap
0412,Ringsaker,Brumunddal,Hedmark,33406,Bokmål,AnitaIhleSteen,Ap
0415,Løten,Løten,Hedmark,7479,Bokmål,BenteElinLilleøkseth,Ap
0417,Stange,Stange,Hedmark,19407,Bokmål,NilsA.Røhne,Ap
0418,Nord-Odal,Sand,Hedmark,5190,Bokmål,LiseSelnes,Ap
0419,Sør-Odal,Skarnes,Hedmark,7806,Bokmål,Anne-MetteØvrum,Høyre
0420,Eidskog,Skotterud,Hedmark,6282,Bokmål,KnutGustavWoie,Sp
0423,Grue,Kirkenær,Hedmark,4997,Bokmål,NielsF.Rolsdorph,Høyre
0425,Åsnes,Flisa,Hedmark,7600,Bokmål,ØrjanBue,Sp
0426,Våler,Våler,Hedmark,3826,Bokmål,KjellKonterud,Ap
0427,Elverum,Elverum,Hedmark,20343,Nøytral,ErikHanstad,Høyre
0428,Trysil,Innbygda,Hedmark,6689,Bokmål,OleMartinNorderhaug,Ap
0429,Åmot,Rena,Hedmark,4387,Bokmål,EspenAndreKristiansen,Ap
0430,Stor-Elvdal,Koppang,Hedmark,2641,Bokmål,EvenMoen,Sp
0432,Rendalen,Bergset,Hedmark,1910,Bokmål,NorvaldIllevold,Ap
0434,Engerdal,Engerdal,Hedmark,1376,Bokmål,LarsErikHyllvang,Sp
0436,Tolga,Tolga,Hedmark,1681,Nøytral,RagnhildAashaug,Sp
0437,Tynset,Tynset,Hedmark,5570,Nøytral,BersvendSalbu,SV
0438,Alvdal,Alvdal,Hedmark,2449,Nøytral,SveinBorkhus,Ap
